_healpix_29,source_id_gaia,ra_gaia,dec_gaia,pmra_gaia,pmdec_gaia,phot_g_mean_mag_gaia,phot_bp_mean_mag_gaia,phot_rp_mean_mag_gaia,objName_panstarrs,objNameHMS_panstarrs,objAltName1_panstarrs,objAltName2_panstarrs,objAltName3_panstarrs,objPopularName_panstarrs,objID_panstarrs,uniquePspsOBid_panstarrs,ippObjID_panstarrs,surveyID_panstarrs,htmID_panstarrs,zoneID_panstarrs,tessID_panstarrs,projectionID_panstarrs,skyCellID_panstarrs,randomID_panstarrs,batchID_panstarrs,dvoRegionID_panstarrs,processingVersion_panstarrs,objInfoFlag_panstarrs,astrometryCorrectionFlag_panstarrs,qualityFlag_panstarrs,raStack_panstarrs,decStack_panstarrs,raStackErr_panstarrs,decStackErr_panstarrs,raMean_panstarrs,decMean_panstarrs,raMeanErr_panstarrs,decMeanErr_panstarrs,pmra_panstarrs,pmdec_panstarrs,pmraErr_panstarrs,pmdecErr_panstarrs,epochMean_panstarrs,posMeanChisq_panstarrs,cx_panstarrs,cy_panstarrs,cz_panstarrs,lambda_panstarrs,beta_panstarrs,l_panstarrs,b_panstarrs,nStackObjectRows_panstarrs,nStackDetections_panstarrs,nDetections_panstarrs,ng_panstarrs,nr_panstarrs,ni_panstarrs,nz_panstarrs,ny_panstarrs,gQfPerfect_panstarrs,gMeanPSFMag_panstarrs,gMeanPSFMagErr_panstarrs,gMeanPSFMagStd_panstarrs,gMeanPSFMagNpt_panstarrs,gMeanPSFMagMin_panstarrs,gMeanPSFMagMax_panstarrs,gMeanKronMag_panstarrs,gMeanKronMagErr_panstarrs,gMeanKronMagStd_panstarrs,gMeanKronMagNpt_panstarrs,gMeanApMag_panstarrs,gMeanApMagErr_panstarrs,gMeanApMagStd_panstarrs,gMeanApMagNpt_panstarrs,gFlags_panstarrs,rQfPerfect_panstarrs,rMeanPSFMag_panstarrs,rMeanPSFMagErr_panstarrs,rMeanPSFMagStd_panstarrs,rMeanPSFMagNpt_panstarrs,rMeanPSFMagMin_panstarrs,rMeanPSFMagMax_panstarrs,rMeanKronMag_panstarrs,rMeanKronMagErr_panstarrs,rMeanKronMagStd_panstarrs,rMeanKronMagNpt_panstarrs,rMeanApMag_panstarrs,rMeanApMagErr_panstarrs,rMeanApMagStd_panstarrs,rMeanApMagNpt_panstarrs,rFlags_panstarrs,iQfPerfect_panstarrs,iMeanPSFMag_panstarrs,iMeanPSFMagErr_panstarrs,iMeanPSFMagStd_panstarrs,iMeanPSFMagNpt_panstarrs,iMeanPSFMagMin_panstarrs,iMeanPSFMagMax_panstarrs,iMeanKronMag_panstarrs,iMeanKronMagErr_panstarrs,iMeanKronMagStd_panstarrs,iMeanKronMagNpt_panstarrs,iMeanApMag_panstarrs,iMeanApMagErr_panstarrs,iMeanApMagStd_panstarrs,iMeanApMagNpt_panstarrs,iFlags_panstarrs,zQfPerfect_panstarrs,zMeanPSFMag_panstarrs,zMeanPSFMagErr_panstarrs,zMeanPSFMagStd_panstarrs,zMeanPSFMagNpt_panstarrs,zMeanPSFMagMin_panstarrs,zMeanPSFMagMax_panstarrs,zMeanKronMag_panstarrs,zMeanKronMagErr_panstarrs,zMeanKronMagStd_panstarrs,zMeanKronMagNpt_panstarrs,zMeanApMag_panstarrs,zMeanApMagErr_panstarrs,zMeanApMagStd_panstarrs,zMeanApMagNpt_panstarrs,zFlags_panstarrs,yQfPerfect_panstarrs,yMeanPSFMag_panstarrs,yMeanPSFMagErr_panstarrs,yMeanPSFMagStd_panstarrs,yMeanPSFMagNpt_panstarrs,yMeanPSFMagMin_panstarrs,yMeanPSFMagMax_panstarrs,yMeanKronMag_panstarrs,yMeanKronMagErr_panstarrs,yMeanKronMagStd_panstarrs,yMeanKronMagNpt_panstarrs,yMeanApMag_panstarrs,yMeanApMagErr_panstarrs,yMeanApMagStd_panstarrs,yMeanApMagNpt_panstarrs,yFlags_panstarrs,_dist_arcsec
72355622838789655,144711230753602048,68.90073185475295,21.250996459036724,860.7161416146595,-959.2079100887464,19.120424,21.595911,17.604784,PSO J068.9006+21.2508,PSX J043536.13+211502.8,-999,-999,-999,-999,133500689005771467,3536331000052500,129974300364053,0,16713599302721,13350,1,1780,34,0.487040068476498,3536331,30262,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,68.90057683,21.25078044,0.1853799968957901,0.1853799968957901,,,,,55962.3130787,-999.0,0.3355093268647074,0.8695188080044945,0.362450733360044,70.39467323856101,-0.7639284825489175,177.01334840620683,-17.34169344684313,-999,0,1,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0054779998,20.809799,0.18477599,-999.0,1,20.809799,20.809799,-999.0,-999.0,-999.0,0,21.393101,0.18477599,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9355823235663095
279061151160369797,558122277038055808,83.29890115430591,82.77182612147968,2038.7941275555197,-1662.957623868994,,,18.49547,PSO J083.2893+82.7728,PSX J053309.43+824622.1,-999,-999,-999,-999,207320832890298231,3816106000008004,359969799020355,0,16777934023333,20732,1,2622,71,0.763767811249725,3816106,83812,3,1375809536,7,164,83.28917541,82.77275129999998,0.001,0.001,83.28914076510203,82.77283863891671,0.005497508349416374,0.005533327939085839,1768.1205120873992,-945.9330271664262,145.3612443216753,144.80294527631165,56592.55683006753,5.74215275240874,0.014701271712213288,0.1249415960574794,0.9920551749699476,88.34645613692814,59.372076581449626,130.41745153731637,24.510349423650293,-999,2,8,0,0,4,2,2,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.99921501,20.311899,0.046556,0.113195,4,20.1733,20.4484,20.4424,0.13827901,0.27353299,4,20.3281,0.186859,0.461357,4,115000,0.99984002,18.093201,0.0029170001,0.0045440001,2,18.0917,18.0975,18.188801,0.020114001,0.031374998,2,18.0853,0.0048549999,0.0075759999,2,16696,0.99606103,16.947701,0.003449,0.0055829999,2,16.946199,16.9531,17.063,0.0076959999,0.012025,2,16.966,0.033537999,0.059012,2,16696,5.729679241287119
465411006967832544,930822015518055808,127.52714090400372,48.47642773218372,-1016.5645274560766,-774.9716240834562,20.710526,21.585167,19.04894,PSO J127.5276+48.4767,PSX J083006.63+482836.0,-999,-999,-999,-999,166171275276812720,3558751000003065,277510721899513,0,16266222557535,16617,1,2310,12,0.466465189556093,3558751,64613,3,302067712,5,36,-999.0,-999.0,-999.0,-999.0,127.52763352842187,48.47667125409052,0.017670616758963545,0.017670616758963545,513.6054299675585,-267.47609991693145,497.5786858571454,497.5786858571454,56997.97167325212,2.120857196042872,-0.4038167430117144,0.5257390179661056,0.748685864065461,117.36623831338724,28.540436208790684,171.0512330284487,35.989021727943694,-999,0,5,0,0,4,0,1,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.99815601,21.1668,0.015331,0.035918999,4,21.1294,21.2159,21.134199,0.102644,0.27835101,4,21.0406,0.053521998,0.107453,4,280,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.99892598,17.393,0.039122999,-999.0,1,17.393,17.393,17.316999,0.064701997,-999.0,1,17.2013,0.039122999,-999.0,1,16777496,1.4665454636038426
794625047801153335,1589250088362827776,228.7472256453729,48.8013123316322,-938.0438885103148,1464.629577793265,19.241777,21.351543,17.604332,PSO J228.7477+48.8008,PSX J151459.44+484802.8,-999,-999,-999,-999,166562287478971399,3526437000103038,281870113804929,0,15344781671482,16656,1,2327,23,0.218306378664734,3526437,65628,3,302067712,5,36,-999.0,-999.0,-999.0,-999.0,228.74777097865447,48.80072246955244,0.004897950887514089,0.005189624019827396,-1273.7908951950578,1143.927946882643,30.173501643521448,29.95764763415573,56858.53132083364,2.802483735918348,-0.4343171490286261,-0.4952049275270616,0.7524232145624985,199.6456679276181,62.53791449054326,80.7644181851811,54.88743926327378,-999,0,10,0,1,8,1,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.50323403,21.0079,0.18336,-999.0,1,21.0079,21.0079,20.8542,0.249423,-999.0,1,20.689301,0.18336,-999.0,1,528,0.99961299,19.365101,0.018062999,0.043489002,8,19.2892,19.423401,19.4624,0.032770999,0.098021999,8,19.362,0.018974001,0.061446998,8,280,0.99745798,17.147301,0.010135,-999.0,1,17.147301,17.147301,17.2292,0.015331,-999.0,1,17.1493,0.010135,-999.0,1,280,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,2.4862437052287705
847595661249829565,1695191332232990720,226.70263614661923,70.46161913358111,-1194.1792240272916,1042.1942136101118,20.199528,21.771992,18.33195,PSO J226.7031+70.4613,PSX J150648.75+702740.8,-999,-999,-999,-999,192552267031734348,3812647000119245,345873716469388,0,14830419026971,19255,1,2559,66,0.458914160224529,3812647,80530,3,1343750144,0,160,226.70314623,70.46133526,0.001,0.001,226.70314623,70.46133526,0.0010000000474974513,0.0010000000474974513,,,,,56248.49707176,-999.0,-0.2293537151111992,-0.2434110285409987,0.942416014586607,146.54511964793883,74.04401006300213,108.27328042323612,42.60520678235916,-999,1,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,1.192279765580229
1141806263107329672,2283612503305198208,321.7606300114952,76.29903870996756,756.4143319575837,822.462559574584,19.926235,21.45336,18.204111,PSO J321.7594+76.2988,PSX J212702.26+761755.5,-999,-999,-999,-999,199553217592579332,3821772000076184,358823042820505,0,13522333373104,19955,1,2617,7,0.6194985598507319,3821772,83545,3,302067712,5,36,-999.0,-999.0,-999.0,-999.0,321.75944332663727,76.29877096034224,0.025869690144702008,0.025869690144702008,605385.2534545268,-972408.5063603325,757087.7589483814,757087.7589483814,56934.30044866716,3.9842123743850175,0.1860335382582338,-0.1466073058607994,0.9715440394091048,53.55860929480066,71.74856106707256,111.7498372015957,18.097369444169495,-999,0,3,0,0,3,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.99812299,20.1052,0.110815,0.196961,3,19.8487,20.208599,20.3043,0.102801,0.16429099,3,20.2684,0.133094,0.24027,3,272,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,1.397489267574746
1286450513388042213,2572901021957789568,24.24124978791965,9.563070454755836,1238.2439374026385,-16.155571796869925,19.461197,21.107285,17.640982,PSO J024.2408+09.5631,PSX J013657.79+093347.1,-999,-999,-999,-999,119470242408006226,3497082000088845,85272280783630,0,17154410976038,11947,1,1507,35,0.1377872574495029,3497082,19854,3,1375809536,7,164,24.2408368,9.56310576,0.001,0.001,24.240806433850707,9.563087514685783,0.003051804627790074,0.003262578569152897,630.9124521897421,-168.52140350425665,61.854890173500735,63.61853086839785,56882.0753136436,2.1987297763267164,0.899156510421037,0.4048669329053478,0.1661334897222114,25.948211012525498,-0.4940328112325582,141.22439512050616,-51.68444442444422,-999,1,8,0,0,4,3,1,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.99830598,20.9118,0.054791,0.129853,4,20.840099,21.1129,20.975,0.049192,0.094183996,4,20.8423,0.070347004,0.13635901,4,115000,0.99957401,17.315201,0.0088200001,0.018439,3,17.3064,17.3386,17.3957,0.017201001,0.029339001,3,17.312599,0.0047269999,0.016231,3,16696,0.99273401,15.7738,0.0079370001,-999.0,1,15.7738,15.7738,15.8496,0.012058,-999.0,1,15.7716,0.0079370001,-999.0,1,16696,1.5750922848367106
1819280488241997640,3638560954457699200,202.95199301461489,-1.2854940328049085,-414.2091781893967,-1041.2782545573707,20.534954,21.39854,18.914696,PSO J202.9522-01.2850,PSX J133148.53-011706.1,-999,-999,-999,-999,106452029522248507,3484833000061024,382651521363553,0,11150684886349,10645,1,1283,67,0.103169498129906,3484833,89093,3,302067712,0,36,-999.0,-999.0,-999.0,-999.0,202.95221147,-1.28502883,0.1074099987745285,0.1074099987745285,,,,,56754.43488426,-999.0,-0.9205988434403716,-0.389865155306921,-0.02242610384708957,201.7141886074205,7.729934087014976,323.42445816918496,59.970697987685206,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.99862701,20.5478,0.106358,-999.0,1,20.5478,20.5478,20.8841,0.20694999,-999.0,1,20.7132,0.106358,-999.0,1,272,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,1.8501071969779455
1849489717977963240,3698979462002285824,180.98680696477484,0.2626631473947131,-1219.590296166469,-282.1176840106884,19.133556,20.761082,17.564669,PSO J180.9871+00.2627,PSX J120356.91+001545.8,-999,-999,-999,-999,108311809873465812,3573718000033785,61924838507514,0,14843535458649,10831,1,1367,2,0.2559101136922,3573718,14418,3,302309376,5,36,-999.0,-999.0,-999.0,-999.0,180.98741805667444,0.262784736605626,0.0021341373949704595,0.0021088146374628213,-1242.4340949714124,-272.09851847048253,4.886398836300254,4.740016567100017,56759.19465552429,42.026642552380565,-0.9998409873110607,-0.017232661875180605,0.004586442797948242,180.80119841642903,0.6337158686281756,277.97935405889206,60.812877546133706,-999,0,15,0,0,10,3,2,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.99852502,18.886101,0.0051020002,0.025539,10,18.8482,18.9375,18.9751,0.022449,0.094990999,10,18.859501,0.017426999,0.092051998,10,280,0.99888402,17.2118,0.0067750001,0.019037001,3,17.1859,17.2188,17.2985,0.01286,0.033539001,3,17.226999,0.000478,0.0041180002,3,280,0.97123802,16.225201,0.0057740002,-999.0,1,16.225201,16.225201,16.221901,0.0089360001,-999.0,1,16.189199,0.0057740002,-999.0,1,280,2.243032266670924
1948178546855350528,3896357089270247168,179.58893132321765,4.57989695872048,570.3957365092363,-923.1941218928744,20.678568,21.712635,19.082453,PSO J179.5888+04.5802,PSX J115821.30+043448.5,-999,-999,-999,-999,113491795887166814,3600384000026863,61710090135790,0,15394497338653,11349,1,1456,11,0.644565205690046,3600384,14368,3,310456320,5,37,-999.0,-999.0,-999.0,-999.0,179.58876031484985,4.580182491532411,0.018298983354917635,0.018298983354917635,395.8813190775908,-862.1531704740762,48.53878131781093,48.53878131781093,56984.35059192061,6.978953018303947,-0.9967808823085272,0.007154504205209747,0.07985415289019984,177.7979709257225,4.038023270697661,271.2893296922843,64.14071233181377,-999,0,11,0,0,11,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.99977303,20.6134,0.115956,0.15761399,3,20.466801,20.7773,20.295,0.212136,0.51026303,3,20.1521,0.056210998,0.114277,3,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,1.1971631053208085
2863463796738903898,5726927573083821440,125.58069426513862,-12.823456020671188,865.008890260463,-881.3450624193156,19.47039,20.068478,18.792942,PSO J125.5804-12.8232,PSX J082219.30-124923.5,-999,-999,-999,-999,92611255804322537,3540036000030436,414460049127141,0,10071918460349,9261,1,997,78,0.0215077810189759,3540036,96499,3,302067712,5,36,-999.0,-999.0,-999.0,-999.0,125.58045193686957,-12.823219443285833,0.003404248465560145,0.003428021703567373,700.0089745130078,-1315.2876461564654,112.9139778992292,113.028177546104,57032.12163123256,1.918692879055872,-0.5673340002776678,0.793015221803881,-0.221943664285062,131.5871135083076,-31.27006823522741,235.25307582401763,13.531278693981962,-999,0,13,0,0,12,1,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.99928898,19.0502,0.023251001,0.055105999,4,18.9744,19.103701,19.1766,0.042893998,0.145805,4,19.146999,0.060609002,0.138707,4,280,0.997648,18.996099,0.042840999,-999.0,1,18.996099,18.996099,18.996201,0.075833999,-999.0,1,18.9007,0.042840999,-999.0,1,280,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,1.203709738356933
